Frequency [Hz],Avg |i_s| [A]
0.01,1.5803723502904177e-09
0.02,1.5826225699856876e-09
0.03,1.5859269443899395e-09
0.04,1.577883749268949e-09
0.05,1.5681473817676305e-09
0.06,1.5586890326812865e-09
0.07,1.5531811583787202e-09
0.08,1.5469654276967048e-09
0.09,1.5230878908187151e-09
0.1,1.482991189695895e-09
0.11,1.453125956468284e-09
0.12,1.4117377018555998e-09
0.13,1.427519079297781e-09
0.14,1.3980275718495249e-09
0.15,1.3822377286851406e-09
0.16,1.3195195747539401e-09
0.17,1.2957560643553736e-09
0.18,1.2500558514147998e-09
0.19,1.2228247243911028e-09
0.2,1.2201910326257349e-09
0.21,1.1667553521692753e-09
0.22,1.2172796530649065e-09
0.23,7.715500192716718e-10
0.24,5.583926709368825e-10
0.25,2.7941173873841765e-10
0.26,1.7993275541812182e-10
0.27,1.6867254907265305e-09
0.28,5.840604100376368e-10
0.29,2.571392897516489e-10
0.3,1.7242003977298738e-09
0.31,1.7009044904261828e-09
0.32,1.9376911409199236e-09
0.33,1.797579638659954e-09
0.34,3.163957607469004e-09
0.35000000000000003,3.106495812535286e-09
0.36,3.2165982853613927e-09
0.37,3.2482900703371396e-09
0.38,3.450414836406383e-09
0.39,3.2146907318616725e-09
0.4,3.802896733395755e-09
0.41000000000000003,3.958772991318256e-09
0.42,4.0626691980287436e-09
0.43,4.137271908111871e-09
0.44,4.1281565371912175e-09
0.45,4.30953396949917e-09
0.46,4.396190461702645e-09
0.47000000000000003,3.2688216818489264e-09
0.48,2.905980593059293e-09
0.49,2.9996157390983802e-09
0.5,2.976239509880543e-09
