Frequency [Hz],Max z1 - z2 [m]
0.01,0.008863943227568831
0.02,0.008864645402398803
0.03,0.008869156557449933
0.04,0.008876920352516016
0.05,0.008889297958057162
0.06,0.008873428158047736
0.07,0.008860814506148229
0.08,0.008887702974218247
0.09,0.008888272922375965
0.1,0.008892457336147803
0.11,0.008911985826987073
0.12,0.009362137319076848
0.13,0.009375559517350918
0.14,0.009440639697064265
0.15,0.00948988947926878
0.16,0.009553220050075646
0.17,0.009718373343118139
0.18,0.010014625563371566
0.19,0.010123810181797838
0.2,0.01095529776397533
0.21,0.011614683210181075
0.22,0.011965640189190805
0.23,0.008922199641587199
0.24,0.008872384818436947
0.25,0.007965587398675101
0.26,0.008039491974128581
0.27,0.01379142430469326
0.28,0.015131136171962368
0.29,0.009121997933895643
0.3,0.01647320424420747
0.31,0.018057184616486734
0.32,0.021693255140173805
0.33,0.024016664458433083
0.34,0.02404268486443778
0.35000000000000003,0.031270795456666035
0.36,0.02899840402155076
0.37,0.03239368706886059
0.38,0.035735845554705666
0.39,0.03663124817363101
0.4,0.03802985358731526
0.41000000000000003,0.03754510351333572
0.42,0.036132676806558454
0.43,0.034423135661018636
0.44,0.03227010631381641
0.45,0.029730422601532528
0.46,0.027544125811603926
0.47000000000000003,0.03105430059499432
0.48,0.03122678150525667
0.49,0.030016417953951196
0.5,0.028459656946485598
