x,i_f,i_s,Coil1 Flux Linkage,Coil2 Flux Linkage,x-direction Magnetic Force
9,-2,-1,-0.024715776,-0.029502652,-0.295334116
10,-2,-1,-0.02491426,-0.028756245,-0.433762039
11,-2,-1,-0.025145529,-0.027787268,-0.508486335
12,-2,-1,-0.025348081,-0.026920406,-0.285983938
13,-2,-1,-0.025471144,-0.026383717,-0.074269875
14,-2,-1,-0.025554892,-0.026075142,0.05558586
15,-2,-1,-0.02559811,-0.025910598,0.106376862
16,-2,-1,-0.025612837,-0.025821236,0.134153712
17,-2,-1,-0.025615055,-0.025765793,0.135732835
18,-2,-1,-0.025623979,-0.025737767,0.129287623
19,-2,-1,-0.025623784,-0.02572212,0.115321035
20,-2,-1,-0.025613995,-0.025715873,0.098638181
0,-1,-1,-0.025104236,-0.025111395,-0.0
1,-1,-1,-0.025256885,-0.025364835,0.085022931
2,-1,-1,-0.025235117,-0.025632817,0.213982087
3,-1,-1,-0.025164666,-0.026169095,0.345510632
4,-1,-1,-0.025077021,-0.026809274,0.312670279
5,-1,-1,-0.025047039,-0.027299977,0.243572347
6,-1,-1,-0.025032555,-0.027621905,0.203512265
7,-1,-1,-0.025061763,-0.027758222,0.111468281
8,-1,-1,-0.02517427,-0.0275994,0.033750987
9,-1,-1,-0.025306521,-0.027240485,-0.007373209
10,-1,-1,-0.025475285,-0.026732627,-0.070538504
11,-1,-1,-0.02566019,-0.026059435,-0.109541642
12,-1,-1,-0.02581415,-0.02547932,0.042878106
13,-1,-1,-0.02589576,-0.02517795,0.176320676
14,-1,-1,-0.025943726,-0.025059771,0.244003027
15,-1,-1,-0.025954545,-0.025053416,0.25338701
16,-1,-1,-0.025939419,-0.025096805,0.245146661
17,-1,-1,-0.025914472,-0.025153452,0.219881982
18,-1,-1,-0.025898708,-0.025220549,0.191907478
19,-1,-1,-0.025875443,-0.025285373,0.162282118
20,-1,-1,-0.025844611,-0.025347436,0.134053032
0,0,-1,-0.024544847,-0.024551872,-0.0
1,0,-1,-0.024918552,-0.024540756,-0.007077531
2,0,-1,-0.025105769,-0.024507978,0.024612967
3,0,-1,-0.025233538,-0.024691158,0.075589327
4,0,-1,-0.025323554,-0.024970038,0.047991684
5,0,-1,-0.025436803,-0.025157227,0.034124846
6,0,-1,-0.025531751,-0.025257865,0.07690266
7,0,-1,-0.025631797,-0.025287525,0.129427836
8,0,-1,-0.025771329,-0.025174966,0.194185539
9,0,-1,-0.025897344,-0.024977894,0.247001052
10,0,-1,-0.02603635,-0.024708738,0.249476575
11,0,-1,-0.026174872,-0.02433143,0.242759714
12,0,-1,-0.026280222,-0.024038149,0.337221645
13,0,-1,-0.026320366,-0.023972171,0.404747893
14,0,-1,-0.026332542,-0.024044421,0.418374107
15,0,-1,-0.026310967,-0.024196246,0.389109763
16,0,-1,-0.026265993,-0.024372368,0.348962478
17,0,-1,-0.026213881,-0.024541113,0.29833741
18,0,-1,-0.026173431,-0.024703328,0.250082408
19,0,-1,-0.026127095,-0.024848623,0.20652426
20,0,-1,-0.026075224,-0.024978995,0.16679533
0,1,-1,-0.023985346,-0.023992236,-0.0
1,1,-1,-0.024577828,-0.023714057,-0.086939314
2,1,-1,-0.024976587,-0.023383386,-0.137163742
3,1,-1,-0.025302387,-0.02321334,-0.151854378
4,1,-1,-0.025570062,-0.023130927,-0.173408155
5,1,-1,-0.025826535,-0.023014619,-0.139699099
6,1,-1,-0.026030906,-0.022893987,-0.025649817
7,1,-1,-0.026201785,-0.022817,0.149745737
8,1,-1,-0.026368321,-0.022750749,0.334787532
9,1,-1,-0.026488097,-0.022715546,0.467777837
10,1,-1,-0.026597342,-0.022685106,0.526268905
11,1,-1,-0.026689483,-0.022603693,0.548402723
12,1,-1,-0.026746231,-0.022597212,0.597035382
13,1,-1,-0.026747992,-0.022769979,0.611044983
14,1,-1,-0.026721313,-0.023029204,0.57869526
15,1,-1,-0.026667359,-0.023339162,0.513541533
16,1,-1,-0.026592544,-0.023647979,0.445597706
17,1,-1,-0.026513271,-0.023928809,0.371096703
18,1,-1,-0.02644814,-0.024186124,0.303810675
19,1,-1,-0.026378733,-0.024411886,0.248045469
20,1,-1,-0.026305826,-0.02461056,0.196863674
0,2,-1,-0.023425818,-0.023432572,-0.0
1,2,-1,-0.024239653,-0.022890437,-0.154486555
2,2,-1,-0.024847367,-0.022259078,-0.271351743
3,2,-1,-0.025371147,-0.021736035,-0.336815737
4,2,-1,-0.025816425,-0.021292621,-0.351530714
5,2,-1,-0.02621606,-0.020873132,-0.277906641
6,2,-1,-0.026529797,-0.020531497,-0.104152934
7,2,-1,-0.026771481,-0.020347989,0.172415927
8,2,-1,-0.026965013,-0.020328022,0.455554067
9,2,-1,-0.027078578,-0.020454543,0.654955469
10,2,-1,-0.027158102,-0.020662586,0.759834029
11,2,-1,-0.027204104,-0.02087705,0.807377605
12,2,-1,-0.027212094,-0.021156901,0.822305928
13,2,-1,-0.027172291,-0.021564618,0.795159546
14,2,-1,-0.027109996,-0.022014288,0.724948831
15,2,-1,-0.027023683,-0.022482278,0.626667035
16,2,-1,-0.026919033,-0.022923723,0.53503949
17,2,-1,-0.026812672,-0.023316713,0.438156704
18,2,-1,-0.026722811,-0.023668987,0.353082547
19,2,-1,-0.026630339,-0.023975195,0.286836108
20,2,-1,-0.026536598,-0.024242225,0.224251515
0,-2,0,7.09E-05,7.09E-05,0.0
1,-2,0,-1.70E-05,0.000162584,0.001055026
2,-2,0,-8.54E-05,0.000285427,0.00621712
3,-2,0,-0.000146146,0.000435604,0.004704025
4,-2,0,-0.000196773,0.000591268,0.004602934
5,-2,0,-0.000232489,0.000721618,0.005049589
6,-2,0,-0.000254045,0.000814454,0.003322374
7,-2,0,-0.000260341,0.000853211,0.000168833
8,-2,0,-0.000248623,0.000819034,-0.000450445
9,-2,0,-0.000225247,0.000733881,-0.004112075
10,-2,0,-0.000194097,0.000613048,-0.002484116
11,-2,0,-0.000158988,0.000470923,-0.004613332
12,-2,0,-0.000126322,0.000337621,-0.002626636
13,-2,0,-0.00010012,0.000232964,-0.000570439
14,-2,0,-7.95E-05,0.00015434,0.00505583
15,-2,0,-6.33E-05,9.68E-05,-0.004135333
16,-2,0,-5.05E-05,5.57E-05,-0.001914105
17,-2,0,-4.07E-05,2.81E-05,-0.002805923
18,-2,0,-3.32E-05,9.90E-06,-0.000288131
19,-2,0,-2.73E-05,-1.42E-06,8.04E-05
20,-2,0,-2.29E-05,-7.75E-06,-0.000678511
0,-1,0,0.00062758,0.000627638,0.0
1,-1,0,0.00032118,0.000986788,0.014176159
2,-1,0,4.36E-05,0.001410736,0.033293151
3,-1,0,-0.00021536,0.001914446,0.048107144
4,-1,0,-0.000443817,0.002431712,0.048934086
5,-1,0,-0.000622898,0.002865823,0.042212277
6,-1,0,-0.000753992,0.003180141,0.029691205
7,-1,0,-0.00083119,0.003325666,0.005677441
8,-1,0,-0.000846513,0.003245169,-0.016578536
9,-1,0,-0.000816849,0.002998035,-0.032879353
10,-1,0,-0.000755887,0.00263833,-0.043403646
11,-1,0,-0.000674307,0.0022001,-0.049674692
12,-1,0,-0.000592954,0.001779777,-0.03770497
13,-1,0,-0.000525212,0.001439554,-0.025464193
14,-1,0,-0.000468765,0.001170369,-0.015117287
15,-1,0,-0.000420071,0.000954508,-0.01633788
16,-1,0,-0.000377375,0.000780676,-0.011325762
17,-1,0,-0.000340448,0.000640864,-0.0094077
18,-1,0,-0.000308199,0.000527487,-0.006243911
19,-1,0,-0.000279234,0.000435644,-0.004846522
20,-1,0,-0.000253764,0.000360967,-0.004725112
0,0,0,0.001185009,0.001185201,-0.0
1,0,0,0.000659377,0.00181098,0.039569881
2,0,0,0.000172644,0.002536025,0.087966721
3,0,0,-0.000284567,0.003393256,0.134013329
4,0,0,-0.000690849,0.004272109,0.136569271
5,0,0,-0.00101329,0.005009967,0.115020069
6,0,0,-0.001253918,0.005545753,0.080134117
7,0,0,-0.001402015,0.005798039,0.01354747
8,0,0,-0.00144438,0.005671227,-0.052549713
9,0,0,-0.001408429,0.005262121,-0.095259468
10,0,0,-0.001317659,0.004663555,-0.127565627
11,0,0,-0.001189611,0.003929237,-0.141418977
12,0,0,-0.001059576,0.003221905,-0.107325892
13,0,0,-0.000950296,0.002646124,-0.072531809
14,0,0,-0.00085802,0.002186383,-0.0493415
15,0,0,-0.000776872,0.001812239,-0.039830548
16,0,0,-0.000704288,0.001505605,-0.02791606
17,0,0,-0.000640158,0.001253612,-0.021703883
18,0,0,-0.000583194,0.001045069,-0.016644976
19,0,0,-0.000531138,0.000872705,-0.012492529
20,0,0,-0.000484594,0.000729681,-0.011444333
0,1,0,0.001743147,0.001743474,-0.0
1,1,0,0.000997568,0.002635141,0.077234094
2,1,0,0.000301667,0.003661263,0.17023268
3,1,0,-0.000353758,0.004871982,0.262412981
4,1,0,-0.000937851,0.006112379,0.267497917
5,1,0,-0.001403637,0.007153939,0.223463614
6,1,0,-0.001753786,0.007911152,0.15464342
7,1,0,-0.001972773,0.008270177,0.023777624
8,1,0,-0.002042183,0.008097063,-0.108358601
9,1,0,-0.001999954,0.007526018,-0.191243794
10,1,0,-0.001879386,0.006688633,-0.254959604
11,1,0,-0.001704882,0.005658272,-0.279835313
12,1,0,-0.001526174,0.004663964,-0.211482277
13,1,0,-0.001375361,0.003852644,-0.141768927
14,1,0,-0.001247259,0.003202359,-0.097614509
15,1,0,-0.001133659,0.002669942,-0.074611778
16,1,0,-0.001031189,0.002230512,-0.05168399
17,1,0,-0.000939858,0.001866343,-0.03969332
18,1,0,-0.00085818,0.001562638,-0.031490251
19,1,0,-0.000783034,0.001309754,-0.02285734
20,1,0,-0.000715421,0.001098395,-0.020835704
0,2,0,0.002301698,0.002302162,-0.0
1,2,0,0.001335731,0.003459191,0.127159266
2,2,0,0.000430699,0.004786318,0.280068063
3,2,0,-0.000422892,0.006350397,0.433260242
4,2,0,-0.001184733,0.00795214,0.441665131
5,2,0,-0.001793804,0.009297199,0.367489771
6,2,0,-0.00225342,0.01027566,0.253174948
7,2,0,-0.002543266,0.010741322,0.036360555
8,2,0,-0.002639732,0.010521971,-0.183976145
9,2,0,-0.002591259,0.009789129,-0.32078547
10,2,0,-0.002440943,0.008713124,-0.425528186
11,2,0,-0.002220034,0.007386919,-0.464867798
12,2,0,-0.001992686,0.006105773,-0.350141828
13,2,0,-0.001800361,0.005058993,-0.233154676
14,2,0,-0.001636444,0.004218208,-0.159927305
15,2,0,-0.001490401,0.003527548,-0.120673254
16,2,0,-0.001358051,0.002955343,-0.082625112
17,2,0,-0.001239525,0.002479016,-0.063370661
18,2,0,-0.001133136,0.002080159,-0.050776015
19,2,0,-0.001034903,0.001746765,-0.035939391
20,2,0,-0.000946221,0.001467071,-0.032897586
0,-2,1,0.025806302,0.025813448,0.0
1,-2,1,0.025558379,0.026510446,0.317043813
2,-2,1,0.025193572,0.027327652,0.679180134
3,-2,1,0.024803915,0.028517315,1.00622282
4,-2,1,0.02443754,0.029829564,0.951042999
5,-2,1,0.024193084,0.030883861,0.724751088
6,-2,1,0.02402619,0.031612243,0.456235089
7,-2,1,0.023972042,0.031932423,-0.015827011
8,-2,1,0.024080877,0.031659239,-0.48760604
9,-2,1,0.024265969,0.030968658,-0.793818498
10,-2,1,0.02452662,0.029980994,-1.062436863
11,-2,1,0.02482797,0.028728157,-1.212055258
12,-2,1,0.025095739,0.027595023,-0.957524151
13,-2,1,0.025271119,0.026849267,-0.684568386
14,-2,1,0.025396043,0.0263836,-0.49454064
15,-2,1,0.025471694,0.026103981,-0.3778602
16,-2,1,0.02551201,0.025932608,-0.288798438
17,-2,1,0.025533655,0.025821949,-0.227800203
18,-2,1,0.025557628,0.02575753,-0.180013846
19,-2,1,0.025569173,0.025719257,-0.144519816
20,-2,1,0.025568166,0.025700362,-0.117490646
0,-1,1,0.026365812,0.026373091,0.0
1,-1,1,0.025896532,0.027334197,0.447614241
2,-1,1,0.025322817,0.028451978,0.950191696
3,-1,1,0.02473522,0.029994466,1.405274547
4,-1,1,0.024191337,0.031667361,1.347515583
5,-1,1,0.023803856,0.033024311,1.043943632
6,-1,1,0.023527732,0.033973133,0.659444354
7,-1,1,0.023402889,0.03439938,-0.020433926
8,-1,1,0.023484579,0.034080371,-0.699981121
9,-1,1,0.023675725,0.033228716,-1.139142226
10,-1,1,0.023965984,0.032002933,-1.507405163
11,-1,1,0.024313545,0.030454933,-1.700817
12,-1,1,0.024629765,0.029035647,-1.356443953
13,-1,1,0.024846552,0.028054782,-0.984895639
14,-1,1,0.025007222,0.027398864,-0.72327812
