x,i_f,i_s,Coil1 Flux Linkage,Coil2 Flux Linkage,x-direction Magnetic Force
8,-1.0,-2.0,-0.04935391697901275,-0.05631208002448837,-0.5543803939774035
9,-1.0,-2.0,-0.04958871613194255,-0.05560324545369164,-1.0447561045201188
10,-1.0,-2.0,-0.04987098739324181,-0.05451956880563226,-1.5577871142994408
11,-1.0,-2.0,-0.05020871695322983,-0.05315176629928888,-1.737722129736789
12,-1.0,-2.0,-0.05050350583773747,-0.05187413742663324,-1.006257714274465
13,-1.0,-2.0,-0.05069866837658242,-0.051093614687410464,-0.32228704438869554
14,-1.0,-2.0,-0.050807734492868364,-0.05069094824665919,0.07495235304788937
15,-1.0,-2.0,-0.050819147284114366,-0.05047608418655815,0.27999098249996424
16,-1.0,-2.0,-0.05079647509108022,-0.050410580753143974,0.36191796157485523
17,-1.0,-2.0,-0.05082015893609721,-0.05039445781867764,0.3637650155052524
18,-1.0,-2.0,-0.05077759771442051,-0.05041282089860678,0.34422038442820724
19,-1.0,-2.0,-0.050807607395948466,-0.05044551065377392,0.3001687316194963
20,-1.0,-2.0,-0.05077927153478304,-0.05049623915240108,0.2576020906434524
0,0.0,-2.0,-0.05005137825536658,-0.050054868769365844,-0.0015338253796804077
1,0.0,-2.0,-0.04998833731651976,-0.05027853654673235,0.42669175573996315
2,0.0,-2.0,-0.04988567066260996,-0.05082992308227399,0.9750670999499973
3,0.0,-2.0,-0.04975899385040571,-0.05185121863598454,1.6075219242219272
4,0.0,-2.0,-0.04961796330326583,-0.053044214737007,1.487011975928318
5,0.0,-2.0,-0.049547642461446294,-0.05392896791590137,1.1313784500575625
6,0.0,-2.0,-0.04954343938005064,-0.05452075103273441,0.8465689344417021
7,0.0,-2.0,-0.04959980277920786,-0.05478222958807842,0.31173482726724133
8,0.0,-2.0,-0.04978443354254225,-0.05451299289742703,-0.21495853154200298
9,0.0,-2.0,-0.050026813578156325,-0.053873874933934134,-0.5025413793218253
10,0.0,-2.0,-0.05030056832449086,-0.05291360682782921,-0.8623392067293756
11,0.0,-2.0,-0.050615167290325815,-0.051719758328618755,-0.9845247148375075
12,0.0,-2.0,-0.05087962755862791,-0.05063908703030068,-0.38122898295731056
13,0.0,-2.0,-0.05104529666776353,-0.05004315995537427,0.16584820889504615
14,0.0,-2.0,-0.0511276472382701,-0.04979966236733159,0.4501791345030993
15,0.0,-2.0,-0.05111410901564706,-0.04972077731766905,0.5671190594541473
16,0.0,-2.0,-0.05106784432616572,-0.04977289479291935,0.5803309746484884
17,0.0,-2.0,-0.05106986276740059,-0.049856430887406024,0.5292662928564303
18,0.0,-2.0,-0.05100774246943754,-0.049958635794469054,0.4686282151119416
19,0.0,-2.0,-0.051018744294205616,-0.05006337504456258,0.3914876245556422
20,0.0,-2.0,-0.050973317203247624,-0.050175354369039686,0.327636343811176
0,1.0,-2.0,-0.049532739628570355,-0.04953796884863235,-0.0029644373886314615
1,1.0,-2.0,-0.049668992064024475,-0.04953792617567155,0.23501738561158347
2,1.0,-2.0,-0.04974499854744355,-0.049838108201435624,0.5860167563352571
3,1.0,-2.0,-0.049783506948048444,-0.05058051570667725,1.0441339255798314
4,1.0,-2.0,-0.049784300946143466,-0.05151173712564617,0.9335701422148271
5,1.0,-2.0,-0.04982757780444135,-0.05218769262049168,0.6938590025866869
6,1.0,-2.0,-0.04990884871132931,-0.052634552830191444,0.5806409860994212
7,1.0,-2.0,-0.050021309426651325,-0.05282961617397569,0.3454179563951072
8,1.0,-2.0,-0.050233839362526796,-0.052577907757085304,0.11077386764666498
9,1.0,-2.0,-0.0504804242289595,-0.05202936162995401,0.01645240632810356
10,1.0,-2.0,-0.05074102659918107,-0.05122043761246939,-0.20034632622230533
11,1.0,-2.0,-0.0510274377955933,-0.05023143883562767,-0.26922191426299397
12,1.0,-2.0,-0.05125831416540253,-0.04936841896945955,0.2157798541525969
13,1.0,-2.0,-0.0513933875554981,-0.048965186655581236,0.6344667557650836
14,1.0,-2.0,-0.051448332262983405,-0.048886788641767875,0.813407187688995
15,1.0,-2.0,-0.051409309131736004,-0.04894978180871162,0.84523854479762
16,1.0,-2.0,-0.051339061967110265,-0.04912438915657491,0.7923357571716254
17,1.0,-2.0,-0.05131917218456602,-0.04931121912881501,0.6893819694655376
18,1.0,-2.0,-0.05123737593577502,-0.049499582176184914,0.5884285847734954
19,1.0,-2.0,-0.05122933585079802,-0.04967793429133257,0.47986003833572344
20,1.0,-2.0,-0.051166818901269166,-0.04985222259808286,0.3960845543165276
0,2.0,-2.0,-0.04900735358647037,-0.049014291692035895,-0.004004878341244254
1,2.0,-2.0,-0.0493494544055426,-0.04878121382873116,0.05520147187242096
2,2.0,-2.0,-0.049608232089854584,-0.048820013979583916,0.21917953322413466
3,2.0,-2.0,-0.04981476797141987,-0.049271056414191446,0.517932504357779
4,2.0,-2.0,-0.04996116566202385,-0.04991617182457671,0.4164589412545775
5,2.0,-2.0,-0.05012183849579664,-0.050354426661006674,0.28468904074747925
6,2.0,-2.0,-0.05029130649887758,-0.050632520981780595,0.33335912322694855
7,2.0,-2.0,-0.05046118539390794,-0.050748065802319886,0.3806663782573671
8,2.0,-2.0,-0.050699626648277804,-0.050521719776265274,0.4210249806466091
9,2.0,-2.0,-0.05094646771759906,-0.05008531604286703,0.5096570625832811
10,2.0,-2.0,-0.05118942208281708,-0.04945375020299955,0.42572961505748635
11,2.0,-2.0,-0.05144466805705285,-0.04868625382197701,0.40647301548119985
12,2.0,-2.0,-0.05164079480869968,-0.04804884441632621,0.7841482107766402
13,2.0,-2.0,-0.05174394866964205,-0.04785042025600828,1.0830995450926943
14,2.0,-2.0,-0.051770275524675134,-0.04794781722131878,1.1642606596163523
15,2.0,-2.0,-0.051705113029200944,-0.048159701649773165,1.1141233922940916
16,2.0,-2.0,-0.051610505459246614,-0.04846139321767465,0.9977760333508074
17,2.0,-2.0,-0.051568388057313015,-0.04875567841132349,0.8440032033032191
18,2.0,-2.0,-0.05146664165951961,-0.04903381460199575,0.703556730997668
19,2.0,-2.0,-0.051439434073448316,-0.04928830069696007,0.5652487920060673
20,2.0,-2.0,-0.051359778487907765,-0.04952654933414999,0.4629233206041257
0,-2.0,-1.0,-0.02566353330009334,-0.025670827052060623,0.0018634103518491464
1,-2.0,-1.0,-0.025445494113034296,-0.02599568924682074,0.1864873000362018
2,-2.0,-1.0,-0.02521278266799027,-0.026534277131660042,0.39534550082529424
3,-2.0,-1.0,-0.024964410606243825,-0.027389280689084115,0.6358695779174902
4,-2.0,-1.0,-0.02471465391381056,-0.02838107308342092,0.6124364274119576
5,-2.0,-1.0,-0.02453337431655937,-0.029152440264992963,0.4828042403804325
6,-2.0,-1.0,-0.024421100285035746,-0.029692967748228744,0.34986163647493573
7,-2.0,-1.0,-0.024378571975323112,-0.029948544061195945,0.09126035045056663
8,-2.0,-1.0,-0.02445663103066477,-0.02974324405772824,-0.15856070657684776
9,-2.0,-1.0,-0.02460453831703579,-0.029214512733808134,-0.29668403680467975
10,-2.0,-1.0,-0.02478992110486781,-0.028450111319599694,-0.43746243037260757
11,-2.0,-1.0,-0.025011482191798665,-0.02752636836894147,-0.47866703008926426
12,-2.0,-1.0,-0.025206996308824194,-0.026695468902789662,-0.2507701601335969
13,-2.0,-1.0,-0.02533439303423042,-0.0261897737616644,-0.057061250100147454
14,-2.0,-1.0,-0.025404292330804733,-0.025907091407244086,0.06144868925898059
15,-2.0,-1.0,-0.02542126400309725,-0.025738852054263003,0.11757394801814708
16,-2.0,-1.0,-0.025418265606845583,-0.025658260440292235,0.14334160372062776
17,-2.0,-1.0,-0.025440301205840427,-0.025610483579446248,0.13718778251188615
18,-2.0,-1.0,-0.025423259822639283,-0.02558015400713069,0.13286503242411957
19,-2.0,-1.0,-0.025449517929301814,-0.025565426782161237,0.11869281025360763
